"id","natemis_number","name","natemis_quintile","natemis_province_id"
100000656,100000656,"HOUT BAY PRIMARY SCHOOL","Q3","base.state_za_wc"
100000657,100000657,"DELFT HIGH SCHOOL","Q3","base.state_za_wc"
100000659,100000659,"CHRISTEN AKADEMIE","N/A","base.state_za_wc"
100000661,100000661,"TABATHA PRIMARY SCHOOL","Q2","base.state_za_wc"
100000662,100000662,"BETTER BEGINNINGS COLLEGE","N/A","base.state_za_wc"
100000664,100000664,"LITTLE GREENIES PREPARATORY","N/A","base.state_za_wc"
100000665,100000665,"KINGS AND QUEENS","N/A","base.state_za_wc"
100000666,100000666,"BOOST ACADEMY CAPE TOWN","N/A","base.state_za_wc"
100000667,100000667,"MITCHELL'S PLAIN HIGH SCHOOL","Q5","base.state_za_wc"
100000669,100000669,"GENERATION SCHOOLS - IMHOFF","N/A","base.state_za_wc"
100000670,100000670,"EENDEKUIL LAERSKOOL","N/A","base.state_za_wc"
100000671,100000671,"GRASSROOTS PREPARATORY","N/A","base.state_za_wc"
100000675,100000675,"CALEO LEARNING CENTRE","N/A","base.state_za_wc"
100000676,100000676,"RALLIM PREPARATORY","N/A","base.state_za_wc"
100000678,100000678,"APEX PRIMARY SCHOOL","Q5","base.state_za_wc"
100000679,100000679,"BEST COLLEGE","N/A","base.state_za_wc"
100000682,100000682,"GORDON'S BAY COLLEGE","N/A","base.state_za_wc"
100000683,100000683,"KEC PRIMARY SCHOOL","N/A","base.state_za_wc"
100000684,100000684,"SAVVY COLLEGE","N/A","base.state_za_wc"
100000685,100000685,"THE PEBBLES PROJECT TRUST","N/A","base.state_za_wc"
100000687,100000687,"EDEN SHINE CHRISTIAN SCHOOL","N/A","base.state_za_wc"
100000688,100000688,"VOETSPOORTJIES KINDER AKADEMIE","N/A","base.state_za_wc"
100000689,100000689,"OTTER'S CREEK JUNIOR SCHOOL","N/A","base.state_za_wc"
100000691,100000691,"MONTESSORI @ HOME INDEPENDENT SCHOOL","N/A","base.state_za_wc"
100000692,100000692,"CAPRICCIO! ARTS POWERED PREPARATORY","N/A","base.state_za_wc"
100000693,100000693,"SUNRIDGE CIRCLE PRIMARY SCHOOL","Q4","base.state_za_wc"
100000694,100000694,"WASHINGTON DRIVE PRIMARY SCHOOL","Q5","base.state_za_wc"
100000695,100000695,"CURRO FORESHORE","N/A","base.state_za_wc"
100000696,100000696,"KIDS ACADEMY SSW & K-ACADEMY LEARNING C","N/A","base.state_za_wc"
100000697,100000697,"CURRO GEORGE","N/A","base.state_za_wc"
100000699,100000699,"NEW HAVEN ACADEMY","N/A","base.state_za_wc"
100000700,100000700,"LAMBERTS BAY HIGH SCHOOL","Q5","base.state_za_wc"
100000701,100000701,"DELFT-NORTH PRIMARY SCHOOL","Q3","base.state_za_wc"
100000702,100000702,"WITSAND PRIMARY SCHOOL","Q4","base.state_za_wc"
100000703,100000703,"FISANTEKRAAL PRIMARY SCHOOL","Q1","base.state_za_wc"
100000704,100000704,"CURRO BURGUNDY","N/A","base.state_za_wc"
100000705,100000705,"CURRO DELFT","N/A","base.state_za_wc"
100000720,100000720,"DE DOORNS PRIMARY SCHOOL","Q1","base.state_za_wc"
100000722,100000722,"PEAK ACADEMY","N/A","base.state_za_wc"
100000724,100000724,"THE OAKS ACADEMY","N/A","base.state_za_wc"
100000725,100000725,"EDUSMART ACADEMY","N/A","base.state_za_wc"
100000726,100000726,"OAKVIEW ACADEMY","N/A","base.state_za_wc"
100000727,100000727,"GREEN SCHOOL SOUTH AFRICA","N/A","base.state_za_wc"
100000732,100000732,"COUNTRY HOUSE SCHOOL","N/A","base.state_za_wc"
100000733,100000733,"EDUBLOX DURBANVILLE","N/A","base.state_za_wc"
100000734,100000734,"SANDVELD LS","Q5","base.state_za_wc"
100000736,100000736,"THREE PEAKS PRIMARY SCHOOL","N/A","base.state_za_wc"
100000737,100000737,"METANOIA SILVER OAK","N/A","base.state_za_wc"
100000738,100000738,"STAR SCHOOLS (PTY) (LTD)","N/A","base.state_za_wc"
100000739,100000739,"SUNRIDGE CIRCLE HIGH SCHOOL","Q4","base.state_za_wc"
100000740,100000740,"MFULENI TECHNICAL ACADEMY","Q3","base.state_za_wc"
100000741,100000741,"CAPE WINELANDS HIGH SCHOOL FOR AEROSPAC","Q2","base.state_za_wc"
100000743,100000743,"ABIENCE ACADEMY","N/A","base.state_za_wc"
100000744,100000744,"LAERSKOOL MOUNTVIEW","N/A","base.state_za_wc"
100000757,100000757,"SOUTHGATE ACADEMY","N/A","base.state_za_wc"
100000763,100000763,"GEORGE ROYAL ACADEMY","N/A","base.state_za_wc"
100000764,100000764,"FAIRDALE NO.2 HIGH SCHOOL","Q4","base.state_za_wc"
100000765,100000765,"LIFE CHRISTIAN ACADEMY","N/A","base.state_za_wc"
100000766,100000766,"BOTHASIG HIGH SCHOOL","Q5","base.state_za_wc"
100000767,100000767,"AQUILA HIGH SCHOOL","Q1","base.state_za_wc"
100000768,100000768,"KLAPMUTS NO.2 PRIMARY SCHOOL","Q1","base.state_za_wc"
100000769,100000769,"KLAPMUTS HIGH SCHOOL","Q1","base.state_za_wc"
100000770,100000770,"EDUDEN","N/A","base.state_za_wc"
100000771,100000771,"SEABRIDGE SCHOOL","N/A","base.state_za_wc"
100000773,100000773,"NEW VREDENBURG HIGH SCHOOL","Q5","base.state_za_wc"
100000775,100000775,"LONDON VILLAGE CHRISTIAN ACADEMY","N/A","base.state_za_wc"
100000776,100000776,"CLIFT COLLEGE INTERNATIONAL SCHOOL","N/A","base.state_za_wc"
100000777,100000777,"CORNELIUS SCHOOLS","N/A","base.state_za_wc"
100000778,100000778,"CURRO UITZICHT HIGH SCHOOL","N/A","base.state_za_wc"
100000779,100000779,"CURRO DURBANVILLE HIGH","N/A","base.state_za_wc"
100000780,100000780,"GARDEN ROUTE HIGH SCHOOL","Q1","base.state_za_wc"
100000781,100000781,"EDEN AKADEMIE LEERSENTRUM","N/A","base.state_za_wc"
100000782,100000782,"GRACE PREP","N/A","base.state_za_wc"
100000783,100000783,"GATEWAY HIGH SCHOOL","Q4","base.state_za_wc"
100000784,100000784,"FOCUS COLLEGE - DISTRICT SIX","N/A","base.state_za_wc"
100000785,100000785,"ISLAMIC EARLY LEARNING FOUNDATION TRADI","N/A","base.state_za_wc"
100000787,100000787,"CRESCA PRIMARY SCHOOL","N/A","base.state_za_wc"
100000788,100000788,"M JUNIORS SCHOOL","N/A","base.state_za_wc"
100000789,100000789,"DELICUIM ACADEMIC PRIVATE SCHOOL","N/A","base.state_za_wc"
100000790,100000790,"MANAH PRIVATE ACADEMY","N/A","base.state_za_wc"
100000791,100000791,"NEW MOORREESBURG HIGH SCHOOL","Q3","base.state_za_wc"
100000792,100000792,"CHOKMAH INDEPENDENT SCHOOL","N/A","base.state_za_wc"
100000793,100000793,"TYGERBERG STEM ACADEMY","Q5","base.state_za_wc"
100000794,100000794,"ROSENDAAL HIGH SCHOOL NO.2","Q3","base.state_za_wc"
100000795,100000795,"NOWERS HIGH SCHOOL ACADEMY","Q3","base.state_za_wc"
100000796,100000796,"INTERNATIONAL MAARIF SCHOOL","N/A","base.state_za_wc"
100000798,100000798,"WASHINGTON DRIVE HIGH SCHOOL","Q3","base.state_za_wc"
100000799,100000799,"TAFELSIG NO.2 HIGH SCHOOL","Q3","base.state_za_wc"
100000800,100000800,"CAPE CHORAL ACADEMY","N/A","base.state_za_wc"
100000801,100000801,"RIVERGATE PRIMARY SCHOOL","Q3","base.state_za_wc"
100000802,100000802,"EDISON CENTURY CITY HIGH SCHOOL","Q3","base.state_za_wc"
100000803,100000803,"SAXONSEA NO.2 HIGH SCHOOL","Q3","base.state_za_wc"
100000804,100000804,"MALMESBURY HIGH SCHOOL NO.2","Q2","base.state_za_wc"
100000805,100000805,"LWANDLE HIGH SCHOOL","Q3","base.state_za_wc"
100000806,100000806,"STELIOS ACADEMY","N/A","base.state_za_wc"
100000807,100000807,"STRAND PRIVATE ACADEMY","N/A","base.state_za_wc"
100000809,100000809,"SONEIKE PRIVATE SCHOOL","N/A","base.state_za_wc"
101000829,101000829,"VERENIGING VIR GEREFORMEERDE SKOOLONDER","Q5","base.state_za_wc"
101000830,101000830,"HOLY CROSS SISTERS' SCHOOL (B)","Q5","base.state_za_wc"
101000831,101000831,"EL SHADDAI CHRISTIAN SCHOOL","Q5","base.state_za_wc"
101006063,101006063,"BELHAR ISLAMIC PRIMARY SCHOOL","Q4","base.state_za_wc"
101007175,101007175,"HEBRON CHRISTENSKOOL","Q2","base.state_za_wc"
101007208,101007208,"BOSTON PRIVATE SCHOOL","Q5","base.state_za_wc"
101007210,101007210,"CURRO DURBANVILLE","Q5","base.state_za_wc"
101007216,101007216,"AKILI EDUCATION SA NPC","N/A","base.state_za_wc"
101007286,101007286,"CHRIST GEN SCHOOL","Q5","base.state_za_wc"
101007970,101007970,"SHILOH CENTRE OF LEARNING","Q5","base.state_za_wc"
101008029,101008029,"RAINBOW MONTESSORI SCHOOL","Q5","base.state_za_wc"
101008201,101008201,"NATURAL LEARNING ACADEMY","N/A","base.state_za_wc"
101008286,101008286,"BELLVILLE CHRISTIAN ACADEMY","Q5","base.state_za_wc"
101008293,101008293,"BELLVILLE PREPARATORY SCHOOL","Q4","base.state_za_wc"
101008377,101008377,"RENLYN'S MODERN MONTESORRI","Q5","base.state_za_wc"
101303200,101303200,"BELLVILLE HOﾋR TEGNIESE SKOOL","Q5","base.state_za_wc"
101308202,101308202,"DURBANVILLE VOORBEREIDINGSKOOL","Q5","base.state_za_wc"
101308206,101308206,"PAROW INKLUSIEWE SKOOL","Q5","base.state_za_wc"
101308207,101308207,"PAROWVALLEI PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101308210,101308210,"RUYTERWACHT VOORBEREIDINGSKOOL","Q4","base.state_za_wc"
101309202,101309202,"ARISTEA PRIMARY SCHOOL","Q5","base.state_za_wc"
101309206,101309206,"BELLPARK PRIMARY SCHOOL","Q5","base.state_za_wc"
101309207,101309207,"BELLVILLE PRIMARY SCHOOL","Q5","base.state_za_wc"
101309208,101309208,"BELLVILLE-NOORD PRIMﾊRE SKOOL","Q5","base.state_za_wc"
101309212,101309212,"BOSTON PRIMARY SCHOOL","Q5","base.state_za_wc"
101309230,101309230,"DE TYGER LAERSKOOL","Q5","base.state_za_wc"
101309237,101309237,"DURBANVILLE PRIMARY SCHOOL","Q5","base.state_za_wc"
101309242,101309242,"EVERSDAL PRIMARY SCHOOL","Q5","base.state_za_wc"
101309243,101309243,"EXCELSIOR PRIMARY SCHOOL (BELLVILLE)","Q5","base.state_za_wc"
101309245,101309245,"FANIE THERON PRIMARY SCHOOL","Q5","base.state_za_wc"
101309250,101309250,"GENE LOUW PRIMARY SCHOOL","Q5","base.state_za_wc"
101309272,101309272,"KENRIDGE PRIMARY SCHOOL","Q5","base.state_za_wc"
101309285,101309285,"LABIANCE PRIMARY SCHOOL","Q5","base.state_za_wc"
101309312,101309312,"PANORAMA LAERSKOOL","Q5","base.state_za_wc"
101309313,101309313,"PAROW-NOORD PRIMARY SCHOOL","Q5","base.state_za_wc"
101309314,101309314,"PAROW-WES PRIMARY SCHOOL","Q5","base.state_za_wc"
101309315,101309315,"PAROW-OOS LAERSKOOL","Q5","base.state_za_wc"
101309336,101309336,"SAFFIER PRIMARY SCHOOL","Q4","base.state_za_wc"
101309341,101309341,"SIMONSBERG PRIMARY SCHOOL","Q5","base.state_za_wc"
101309360,101309360,"TOTIUS PRIMﾊRE SKOOL","Q5","base.state_za_wc"
101309369,101309369,"VREDELUST PRIMARY SCHOOL","Q5","base.state_za_wc"
101309374,101309374,"WELGEMOED PRIMARY SCHOOL","Q5","base.state_za_wc"
101309602,101309602,"DE WAVEREN PRIMARY SCHOOL","Q4","base.state_za_wc"
101310200,101310200,"BELLVILLE HOﾋRSKOOL","Q5","base.state_za_wc"
101310217,101310217,"D.F. MALAN HOﾋRSKOOL","Q5","base.state_za_wc"
101310227,101310227,"DURBANVILLE HOﾋRSKOOL","Q5","base.state_za_wc"
101310229,101310229,"EBEN DONGES HOﾋRSKOOL","Q5","base.state_za_wc"
101310232,101310232,"FAIRMONT HIGH SCHOOL","Q5","base.state_za_wc"
101310264,101310264,"MONUMENT PARK HOﾋRSKOOL","Q5","base.state_za_wc"
101310274,101310274,"PAROW HOﾋRSKOOL","Q5","base.state_za_wc"
101310308,101310308,"THE SETTLERS HIGH SCHOOL","Q5","base.state_za_wc"
101310310,101310310,"TYGERBERG HOﾋRSKOOL","Q5","base.state_za_wc"
101310326,101310326,"STELLENBERG HOﾋRSKOOL","Q5","base.state_za_wc"
101320099,101320099,"NORTHWAY PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101320188,101320188,"BELLVILLE-SUID PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101320218,101320218,"GOEIE HOOP PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101320234,101320234,"LAWRENCIA PRIMﾊRE SKOOL","Q2","base.state_za_wc"
101320382,101320382,"NEBO PRIMARY SCHOOL","Q4","base.state_za_wc"
101320528,101320528,"WEBNERSTRAAT PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101320544,101320544,"KASSELSVLEI PRIMARY SCHOOL","Q4","base.state_za_wc"
101320579,101320579,"PINEDENE PRIMARY SCHOOL","Q4","base.state_za_wc"
101320714,101320714,"VORENTOE PRIMARY SCHOOL","Q4","base.state_za_wc"
101320749,101320749,"ALPHA PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101320900,101320900,"PARKDENE PRIMARY SCHOOL (BELLVILLE)","Q4","base.state_za_wc"
101320986,101320986,"CAVALLERIA PRIMARY SCHOOL","Q4","base.state_za_wc"
101321265,101321265,"WINSLEY PRIMﾊRE SKOOL","Q4","base.state_za_wc"
101321389,101321389,"ERICA PRIMARY SCHOOL","Q5","base.state_za_wc"
101321397,101321397,"BELHAR PRIMARY SCHOOL","Q4","base.state_za_wc"
101321508,101321508,"GARDENIA PRIMARY SCHOOL","Q4","base.state_za_wc"
101321524,101321524,"EIKENDAL PRIMARY SCHOOL","Q5","base.state_za_wc"
